q,p_clean,p_corr,m_clean,m_corr,clean_top1_id,corr_top1_id,clean_top1,corr_top1,clean_hit_tool,corr_non_tool,pair_success
31,0.94482421875,0.2017822265625,3.765625,1.15625,151657,8420,<tool_call>,Here,True,True,True
32,0.958984375,0.03216552734375,3.734375,3.015625,151657,8420,<tool_call>,Here,True,True,True
33,0.61083984375,0.0006079673767089844,1.109375,7.203125,151657,8420,<tool_call>,Here,True,True,True
34,0.97265625,0.7646484375,4.015625,-1.875,151657,151657,<tool_call>,<tool_call>,True,False,False
35,0.9892578125,0.97265625,4.734375,-4.703125,151657,151657,<tool_call>,<tool_call>,True,False,False
36,0.9736328125,0.1578369140625,4.25,1.46875,151657,8420,<tool_call>,Here,True,True,True
37,0.9287109375,0.0272064208984375,3.09375,3.3125,151657,8420,<tool_call>,Here,True,True,True
38,0.63623046875,0.02777099609375,0.734375,2.5,151657,8420,<tool_call>,Here,True,True,True
39,0.96923828125,0.2119140625,4.078125,0.96875,151657,8420,<tool_call>,Here,True,True,True
40,0.9970703125,0.95068359375,6.734375,-3.765625,151657,151657,<tool_call>,<tool_call>,True,False,False
41,0.71630859375,0.001956939697265625,1.265625,5.21875,151657,8420,<tool_call>,Here,True,True,True
42,0.0005116462707519531,3.516674041748047e-06,-6.625,12.46875,40,785,I,The,False,True,False
43,0.97900390625,0.01702880859375,4.796875,3.875,151657,8420,<tool_call>,Here,True,True,True
44,0.55224609375,0.0015249252319335938,0.515625,5.578125,151657,8420,<tool_call>,Here,True,True,True
45,0.9638671875,0.236083984375,3.828125,0.53125,151657,8420,<tool_call>,Here,True,True,True
46,0.95703125,0.07354736328125,3.703125,2.203125,151657,8420,<tool_call>,Here,True,True,True
47,0.91748046875,0.54931640625,2.46875,-0.8125,151657,151657,<tool_call>,<tool_call>,True,False,False
48,0.6669921875,0.007549285888671875,1.0625,4.546875,151657,8420,<tool_call>,Here,True,True,True
49,0.9453125,0.04840087890625,3.375,2.640625,151657,8420,<tool_call>,Here,True,True,True
50,0.73583984375,0.01462554931640625,1.578125,4.015625,151657,8420,<tool_call>,Here,True,True,True
51,0.98681640625,0.55322265625,4.75,-1.234375,151657,151657,<tool_call>,<tool_call>,True,False,False
52,0.9912109375,0.568359375,5.609375,-0.734375,151657,151657,<tool_call>,<tool_call>,True,False,False
53,0.9697265625,0.08526611328125,3.9375,1.984375,151657,8420,<tool_call>,Here,True,True,True
54,0.98681640625,0.0614013671875,5.1875,2.46875,151657,8420,<tool_call>,Here,True,True,True
55,0.970703125,0.255859375,3.796875,0.5625,151657,8420,<tool_call>,Here,True,True,True
56,0.93896484375,0.0109710693359375,3.5,4.296875,151657,8420,<tool_call>,Here,True,True,True
57,0.701171875,0.0621337890625,1.03125,2.046875,151657,8420,<tool_call>,Here,True,True,True
58,0.82861328125,0.0226593017578125,1.859375,3.296875,151657,8420,<tool_call>,Here,True,True,True
59,0.90283203125,0.031463623046875,2.59375,3.125,151657,8420,<tool_call>,Here,True,True,True
60,0.64892578125,0.02960205078125,0.9375,2.5625,151657,8420,<tool_call>,Here,True,True,True
61,0.98193359375,0.275634765625,4.84375,0.734375,151657,8420,<tool_call>,Here,True,True,True
62,0.8916015625,0.287841796875,2.421875,0.421875,151657,8420,<tool_call>,Here,True,True,True
63,0.94677734375,0.31884765625,3.328125,0.4375,151657,8420,<tool_call>,Here,True,True,True
64,0.4619140625,0.00696563720703125,-0.109375,4.15625,40,40,I,I,False,True,False
65,0.33642578125,0.0018978118896484375,0.140625,5.84375,151657,8420,<tool_call>,Here,True,True,True
66,0.94970703125,0.56494140625,3.265625,-0.65625,151657,151657,<tool_call>,<tool_call>,True,False,False
67,0.947265625,0.03228759765625,3.171875,3.0625,151657,8420,<tool_call>,Here,True,True,True
68,0.92529296875,0.037322998046875,3.28125,2.265625,151657,8420,<tool_call>,Here,True,True,True
69,0.99853515625,0.98583984375,7.328125,-5.0625,151657,151657,<tool_call>,<tool_call>,True,False,False
70,0.053955078125,0.00494384765625,-2.40625,4.140625,40,1249,I,To,False,True,False
71,0.90087890625,0.00965118408203125,2.359375,3.65625,151657,8420,<tool_call>,Here,True,True,True
72,0.61181640625,0.01198577880859375,0.671875,3.734375,151657,8420,<tool_call>,Here,True,True,True
73,0.88037109375,0.0645751953125,2.34375,1.578125,151657,785,<tool_call>,The,True,True,True
74,0.04443359375,0.0005002021789550781,-2.515625,6.453125,40,785,I,The,False,True,False
75,0.2064208984375,0.0009813308715820312,-1.0,5.90625,40,8420,I,Here,False,True,False
76,0.243896484375,0.0159454345703125,-0.71875,3.515625,40,8420,I,Here,False,True,False
77,0.90283203125,0.2352294921875,2.65625,0.5625,151657,8420,<tool_call>,Here,True,True,True
78,0.72119140625,0.013458251953125,1.90625,3.9375,151657,8420,<tool_call>,Here,True,True,True
79,0.9912109375,0.9677734375,5.1875,-4.921875,151657,151657,<tool_call>,<tool_call>,True,False,False
80,0.99365234375,0.35986328125,5.859375,-0.046875,151657,151657,<tool_call>,<tool_call>,True,False,False
81,0.32861328125,0.0018444061279296875,-0.53125,4.875,40,1249,I,To,False,True,False
82,0.8740234375,0.0027008056640625,2.1875,4.546875,151657,785,<tool_call>,The,True,True,True
83,0.449462890625,0.01163482666015625,0.328125,3.890625,151657,8420,<tool_call>,Here,True,True,True
84,0.76513671875,0.0487060546875,1.734375,1.734375,151657,785,<tool_call>,The,True,True,True
85,0.98388671875,0.00971221923828125,4.75,3.703125,151657,8420,<tool_call>,Here,True,True,True
86,0.9365234375,0.364013671875,3.21875,-0.015625,151657,151657,<tool_call>,<tool_call>,True,False,False
87,0.66748046875,0.0005970001220703125,0.921875,6.984375,151657,8420,<tool_call>,Here,True,True,True
88,0.84521484375,0.051055908203125,1.875,1.75,151657,40,<tool_call>,I,True,True,True
89,0.9755859375,0.0406494140625,4.21875,2.4375,151657,1249,<tool_call>,To,True,True,True
90,0.9033203125,0.1097412109375,3.015625,1.453125,151657,8420,<tool_call>,Here,True,True,True
91,0.75244140625,0.0022678375244140625,1.375,4.921875,151657,8420,<tool_call>,Here,True,True,True
92,0.343505859375,0.031097412109375,-0.03125,2.9375,40,1249,I,To,False,True,False
93,0.89208984375,0.39990234375,2.640625,-0.71875,151657,151657,<tool_call>,<tool_call>,True,False,False
94,0.9541015625,0.155029296875,3.859375,0.9375,151657,39814,<tool_call>,Sure,True,True,True
95,0.345703125,0.0005507469177246094,-0.296875,7.09375,40,785,I,The,False,True,False
96,0.2919921875,0.0029239654541015625,-0.328125,5.5625,40,8420,I,Here,False,True,False
97,0.79150390625,0.030548095703125,1.703125,2.890625,151657,8420,<tool_call>,Here,True,True,True
98,0.95458984375,0.046875,3.9375,2.625,151657,8420,<tool_call>,Here,True,True,True
99,0.97509765625,0.662109375,4.390625,-1.40625,151657,151657,<tool_call>,<tool_call>,True,False,False
100,0.68798828125,0.005588531494140625,1.125,4.75,151657,8420,<tool_call>,Here,True,True,True
101,0.84619140625,0.007419586181640625,2.25,4.40625,151657,8420,<tool_call>,Here,True,True,True
102,0.410888671875,1.1920928955078125e-07,-0.015625,16.015625,8420,8420,Here,Here,False,True,False
103,0.9287109375,0.01027679443359375,3.71875,4.234375,151657,8420,<tool_call>,Here,True,True,True
104,0.7783203125,0.0164031982421875,1.40625,3.265625,151657,8420,<tool_call>,Here,True,True,True
105,0.5439453125,0.01056671142578125,0.625,3.984375,151657,8420,<tool_call>,Here,True,True,True
106,0.98193359375,0.194091796875,4.46875,0.21875,151657,8420,<tool_call>,Here,True,True,True
107,0.890625,0.10845947265625,2.390625,1.796875,151657,8420,<tool_call>,Here,True,True,True
108,0.689453125,0.001678466796875,1.1875,5.484375,151657,1249,<tool_call>,To,True,True,True
109,0.880859375,0.146484375,2.125,0.625,151657,40,<tool_call>,I,True,True,True
110,0.9970703125,0.8671875,6.703125,-2.421875,151657,151657,<tool_call>,<tool_call>,True,False,False
111,0.48291015625,0.0016078948974609375,0.1875,5.8125,151657,1249,<tool_call>,To,True,True,True
112,0.72119140625,0.0011539459228515625,1.328125,6.375,151657,8420,<tool_call>,Here,True,True,True
113,0.68017578125,0.072265625,0.921875,1.484375,151657,8420,<tool_call>,Here,True,True,True
114,0.96728515625,0.46484375,3.625,-0.421875,151657,151657,<tool_call>,<tool_call>,True,False,False
115,0.482666015625,0.0024585723876953125,0.75,5.125,151657,1249,<tool_call>,To,True,True,True
116,0.98876953125,0.9443359375,5.203125,-3.109375,151657,151657,<tool_call>,<tool_call>,True,False,False
117,0.221923828125,0.0010232925415039062,-0.859375,5.859375,40,1249,I,To,False,True,False
118,0.869140625,0.119140625,2.203125,1.09375,151657,8420,<tool_call>,Here,True,True,True
119,0.68896484375,0.00569915771484375,1.09375,4.265625,151657,8420,<tool_call>,Here,True,True,True
120,0.00020492076873779297,9.85860824584961e-05,-8.09375,8.265625,40,785,I,The,False,True,False
121,0.92578125,5.525350570678711e-05,3.515625,9.234375,151657,1249,<tool_call>,To,True,True,True
122,0.93359375,0.03643798828125,3.109375,2.59375,151657,8420,<tool_call>,Here,True,True,True
123,0.9296875,0.0258026123046875,3.296875,2.90625,151657,8420,<tool_call>,Here,True,True,True
124,0.98974609375,0.4443359375,5.453125,-0.6875,151657,151657,<tool_call>,<tool_call>,True,False,False
125,0.96435546875,0.470947265625,3.515625,-0.546875,151657,151657,<tool_call>,<tool_call>,True,False,False
126,0.673828125,0.0643310546875,0.875,1.703125,151657,8420,<tool_call>,Here,True,True,True
127,0.982421875,0.51953125,4.375,-1.046875,151657,151657,<tool_call>,<tool_call>,True,False,False
128,0.9775390625,0.6767578125,4.28125,-1.671875,151657,151657,<tool_call>,<tool_call>,True,False,False
129,0.86083984375,0.0286712646484375,2.046875,2.390625,151657,8420,<tool_call>,Here,True,True,True
130,0.9521484375,0.401123046875,3.9375,-0.046875,151657,151657,<tool_call>,<tool_call>,True,False,False
131,0.9912109375,0.1407470703125,5.109375,0.421875,151657,40,<tool_call>,I,True,True,True
132,0.96484375,0.48583984375,3.734375,-0.5625,151657,151657,<tool_call>,<tool_call>,True,False,False
133,0.52001953125,0.1400146484375,0.734375,0.453125,151657,1249,<tool_call>,To,True,True,True
134,0.685546875,0.043731689453125,1.0625,2.296875,151657,8420,<tool_call>,Here,True,True,True
135,0.1607666015625,0.0047607421875,-0.78125,4.296875,40,1249,I,To,False,True,False
136,0.7861328125,0.0280303955078125,1.921875,3.015625,151657,8420,<tool_call>,Here,True,True,True
137,0.72021484375,0.01134490966796875,1.1875,3.90625,151657,8420,<tool_call>,Here,True,True,True
138,0.86767578125,0.173583984375,2.078125,1.0,151657,8420,<tool_call>,Here,True,True,True
139,0.4541015625,0.0401611328125,0.015625,2.03125,151657,785,<tool_call>,The,True,True,True
140,0.88671875,0.08575439453125,3.03125,2.046875,151657,8420,<tool_call>,Here,True,True,True
141,0.984375,0.17724609375,4.625,0.984375,151657,8420,<tool_call>,Here,True,True,True
142,0.9814453125,0.254638671875,4.4375,0.46875,151657,8420,<tool_call>,Here,True,True,True
143,0.91943359375,0.0882568359375,3.359375,2.015625,151657,8420,<tool_call>,Here,True,True,True
144,0.91162109375,0.0003085136413574219,2.890625,7.28125,151657,1249,<tool_call>,To,True,True,True
145,0.03533935546875,0.0031986236572265625,-2.96875,4.65625,40,1249,I,To,False,True,False
146,0.73486328125,0.09417724609375,1.34375,1.796875,151657,8420,<tool_call>,Here,True,True,True
147,0.249755859375,0.0003523826599121094,-0.75,7.375,40,8420,I,Here,False,True,False
148,0.479248046875,0.0252838134765625,0.28125,2.515625,151657,8420,<tool_call>,Here,True,True,True
149,0.95556640625,0.168701171875,3.515625,0.5625,151657,8420,<tool_call>,Here,True,True,True
150,0.63232421875,0.0013818740844726562,1.53125,6.34375,151657,8420,<tool_call>,Here,True,True,True
151,0.564453125,0.0027828216552734375,1.1875,5.09375,151657,8420,<tool_call>,Here,True,True,True
152,0.83642578125,0.09405517578125,1.875,2.046875,151657,8420,<tool_call>,Here,True,True,True
153,0.98876953125,0.11785888671875,5.40625,1.546875,151657,8420,<tool_call>,Here,True,True,True
154,0.99169921875,0.94189453125,5.375,-3.625,151657,151657,<tool_call>,<tool_call>,True,False,False
155,0.485595703125,0.005641937255859375,0.109375,4.171875,151657,1249,<tool_call>,To,True,True,True
156,0.86572265625,0.039031982421875,2.421875,2.796875,151657,8420,<tool_call>,Here,True,True,True
157,0.93359375,0.101318359375,2.875,0.765625,151657,1249,<tool_call>,To,True,True,True
158,0.72900390625,0.0015621185302734375,1.46875,5.609375,151657,8420,<tool_call>,Here,True,True,True
159,0.06439208984375,0.004085540771484375,-2.453125,5.03125,40,8420,I,Here,False,True,False
160,0.99365234375,0.8837890625,5.4375,-2.90625,151657,151657,<tool_call>,<tool_call>,True,False,False
161,0.814453125,0.00868988037109375,1.8125,3.890625,151657,785,<tool_call>,The,True,True,True
162,0.826171875,0.00733184814453125,2.0,4.5,151657,8420,<tool_call>,Here,True,True,True
163,0.6640625,0.007518768310546875,0.859375,4.09375,151657,1249,<tool_call>,To,True,True,True
164,0.8916015625,0.007091522216796875,2.40625,4.3125,151657,8420,<tool_call>,Here,True,True,True
